pH_R,pH_G,pH_B,glucose_R,glucose_G,glucose_B,lactate_R,lactate_G,lactate_B,uric_R,uric_G,uric_B,toxicity
47,207,87,5,249,66,20,234,74,67,187,97,Medium
247,7,67,223,31,80,116,138,122,52,202,90,High
197,57,92,134,120,124,123,131,126,123,131,125,High
239,15,71,239,15,71,42,212,85,68,186,98,High
228,26,77,203,51,89,241,13,70,73,181,100,High
152,102,115,254,0,64,216,38,83,167,87,107,High
235,19,74,89,165,108,170,84,106,246,8,68,High
22,232,75,195,59,93,117,137,123,153,101,114,High
49,205,89,102,152,115,105,149,116,19,235,73,High
11,243,69,122,132,125,165,89,108,19,235,73,High
82,172,105,160,94,111,139,115,122,242,12,70,High
99,155,113,222,32,80,15,239,71,75,179,102,Medium
69,185,98,250,4,66,130,124,126,23,231,75,High
211,43,85,195,59,93,205,49,88,152,102,115,High
90,164,109,106,148,117,117,137,122,159,95,112,High
71,183,99,107,147,117,13,241,70,165,89,108,Medium
138,116,122,188,66,97,200,54,91,68,186,98,High
35,219,82,60,194,94,51,203,89,3,251,65,Medium
204,50,89,28,226,78,65,189,97,246,8,68,Medium
19,235,73,90,164,109,42,212,85,63,191,96,Medium
251,3,65,73,181,100,84,170,106,172,82,105,High
196,58,93,75,179,101,192,62,95,180,74,101,High
50,204,89,59,195,93,132,122,125,155,99,113,High
1,253,64,10,244,69,52,202,90,79,175,104,Medium
207,47,87,4,250,66,223,31,79,69,185,98,High
180,74,101,251,3,65,224,30,79,152,102,115,High
185,69,98,109,145,118,221,33,80,220,34,81,High
196,58,93,98,156,113,60,194,94,241,13,70,High
18,236,73,173,81,105,115,139,121,27,227,77,High
91,163,109,55,199,91,251,3,65,39,215,83,High
29,225,78,242,12,70,196,58,93,240,14,71,High
220,34,81,200,54,91,6,248,67,187,67,97,High
158,96,112,22,232,75,16,238,72,225,29,78,Medium
84,170,106,106,148,117,118,136,123,51,203,89,High
16,238,72,224,30,79,231,23,75,149,105,116,High
79,175,103,240,14,71,137,117,123,178,76,102,High
82,172,105,119,135,123,126,128,127,173,81,104,High
186,68,98,156,98,113,26,228,77,104,150,116,Medium
162,92,110,42,212,85,167,87,107,3,251,65,Medium
226,28,78,252,2,65,209,45,86,148,106,117,High
120,134,124,59,195,93,97,157,112,64,190,96,Medium
30,224,79,240,14,71,197,57,92,114,140,121,High
181,73,100,165,89,108,245,9,68,244,10,69,High
194,60,94,154,100,114,51,203,90,101,153,115,Medium
143,111,120,130,124,126,133,121,125,214,40,84,High
196,58,93,58,196,93,73,181,100,48,206,88,Medium
125,129,127,45,209,86,202,52,90,171,83,105,High
133,121,125,56,198,92,147,107,118,249,5,66,High
109,145,118,47,207,87,161,93,110,25,229,77,High
6,248,67,198,56,92,203,51,89,2,252,65,High
27,227,77,89,165,108,100,154,114,110,144,119,High
8,246,68,14,240,71,233,21,74,23,231,75,High
162,92,110,247,7,67,135,119,123,190,64,96,High
80,174,104,225,29,78,40,214,84,233,21,74,High
129,125,126,236,18,73,177,77,102,110,144,119,High
231,23,75,253,1,64,202,52,90,65,189,97,High
63,191,95,44,210,86,80,174,104,110,144,119,Medium
104,150,116,101,153,114,218,36,82,184,70,99,High
192,62,95,193,61,94,231,23,76,2,252,65,High
58,196,93,177,77,102,70,184,99,150,104,116,High
19,235,73,39,215,83,250,4,66,156,98,113,High
73,181,101,208,46,87,35,219,82,162,92,110,High
41,213,84,57,197,92,51,203,89,61,193,94,Medium
237,17,72,57,197,92,46,208,87,182,72,100,Medium
206,48,88,136,118,123,227,27,77,23,231,75,High
161,93,110,151,103,116,166,88,108,50,204,89,High
222,32,80,147,107,117,38,216,83,223,31,79,High
204,50,89,23,231,75,112,142,120,188,66,97,High
47,207,87,223,31,79,156,98,113,3,251,65,High
227,27,77,67,187,97,21,233,74,63,191,95,Medium
137,117,122,33,221,80,225,29,79,54,200,91,High
205,49,88,226,28,78,204,50,89,69,185,98,High
228,26,77,243,11,69,128,126,127,63,191,95,High
81,173,104,219,35,81,246,8,68,15,239,72,High
28,226,78,206,48,88,106,148,117,117,137,122,High
58,196,93,167,87,108,250,4,66,186,68,98,High
108,146,118,140,114,121,170,84,106,154,100,114,High
208,46,87,22,232,75,161,93,110,171,83,105,High
219,35,81,104,150,116,42,212,85,20,234,74,Medium
1,253,64,95,159,111,224,30,79,242,12,70,High
130,124,126,66,188,97,109,145,118,213,41,84,High
106,148,117,184,70,99,41,213,84,205,49,88,High
56,198,92,126,128,127,3,251,65,209,45,86,Medium
30,224,79,20,234,74,142,112,120,237,17,72,High
86,168,107,56,198,92,134,120,124,138,116,122,High
240,14,71,174,80,104,183,71,99,51,203,89,High
82,172,105,19,235,73,227,27,78,157,97,113,High
132,122,125,217,37,83,20,234,74,189,65,96,High
179,75,102,126,128,127,186,68,98,188,66,97,High
92,162,110,122,132,125,47,207,87,132,122,125,Medium
247,7,67,151,103,116,218,36,82,17,237,72,High
245,9,68,210,44,86,208,46,87,94,160,111,High
64,190,96,88,166,108,137,117,122,234,20,74,High
126,128,127,172,82,105,181,73,101,149,105,117,High
76,178,102,144,110,119,80,174,104,137,117,123,High
72,182,100,68,186,98,120,134,124,68,186,98,High
9,245,68,224,30,79,209,45,86,93,161,111,High
155,99,113,203,51,89,117,137,122,228,26,77,High
128,126,127,167,87,107,91,163,109,169,85,106,High
13,241,70,216,38,83,126,128,127,200,54,91,High
71,183,99,221,33,80,211,43,85,115,139,122,High
231,23,75,180,74,101,85,169,106,160,94,111,High
61,193,94,213,41,84,44,210,86,63,191,95,High
36,218,82,177,77,102,181,73,100,179,75,101,High
124,130,126,173,81,104,210,44,86,109,145,118,High
251,3,65,157,97,112,25,229,76,112,142,120,Medium
61,193,94,191,63,95,61,193,94,165,89,108,High
171,83,105,40,214,84,36,218,82,238,16,72,Medium
194,60,94,224,30,79,88,166,108,16,238,72,High
60,194,94,222,32,80,114,140,121,210,44,86,High
185,69,98,7,247,67,190,64,96,74,180,101,High
93,161,111,210,44,86,166,88,108,113,141,120,High
161,93,111,32,222,80,158,96,112,5,249,66,Medium
161,93,110,85,169,106,89,165,109,76,178,102,Medium
136,118,123,189,65,96,214,40,84,128,126,127,High
23,231,75,40,214,84,120,134,124,14,240,71,High
213,41,85,208,46,87,249,5,66,125,129,126,High
81,173,105,212,42,85,161,93,110,236,18,73,High
47,207,87,129,125,127,32,222,80,26,228,77,Medium
10,244,69,1,253,64,172,82,105,194,60,94,High
150,104,116,73,181,100,82,172,105,104,150,116,Medium
172,82,105,157,97,113,175,79,104,167,87,108,High
4,250,66,250,4,66,17,237,72,66,188,97,High
130,124,126,161,93,111,44,210,86,40,214,84,Medium
57,197,92,66,188,97,218,36,82,40,214,84,High
164,90,109,161,93,110,57,197,93,17,237,73,Medium
44,210,86,137,117,122,213,41,84,47,207,87,High
176,78,103,198,56,92,71,183,99,169,85,106,High
98,156,113,27,227,77,163,91,109,224,30,79,High
238,16,72,194,60,94,177,77,103,207,47,87,High
35,219,81,138,116,122,130,124,126,174,80,104,High
86,168,107,245,9,68,77,177,103,28,226,78,High
28,226,78,87,167,107,54,200,91,73,181,101,Medium
235,19,73,161,93,111,8,246,68,79,175,103,Medium
223,31,79,237,17,72,77,177,102,63,191,95,High
65,189,97,26,228,77,166,88,108,131,123,126,High
168,86,107,238,16,72,239,15,71,136,118,123,High
208,46,87,175,79,103,222,32,80,91,163,109,High
141,113,120,17,237,72,195,59,93,90,164,109,High
135,119,124,76,178,102,201,53,91,211,43,85,High
61,193,94,180,74,101,169,85,106,201,53,90,High
23,231,75,17,237,72,66,188,97,78,176,103,Medium
228,26,77,148,106,117,231,23,75,233,21,75,High
229,25,76,88,166,108,171,83,106,242,12,70,High
161,93,110,158,96,112,142,112,120,83,171,105,High
86,168,107,11,243,69,28,226,78,90,164,109,Medium
89,165,108,222,32,80,113,141,121,128,126,127,High
185,69,99,248,6,67,117,137,122,239,15,71,High
228,26,77,247,7,67,220,34,81,223,31,79,High
226,28,78,191,63,96,139,115,122,26,228,77,High
198,56,92,33,221,80,97,157,112,100,154,114,Medium
163,91,109,193,61,94,249,5,66,141,113,121,High
21,233,74,6,248,67,28,226,78,128,126,127,Medium
41,213,84,5,249,66,107,147,118,49,205,88,Medium
229,25,76,82,172,105,10,244,69,218,36,82,Medium
154,100,114,124,130,126,188,66,97,172,82,105,High
2,252,65,196,58,93,234,20,74,213,41,84,High
25,229,76,174,80,104,71,183,99,218,36,82,High
169,85,107,113,141,121,218,36,82,190,64,96,High
1,253,64,69,185,99,74,180,101,111,143,120,High
41,213,84,254,0,64,232,22,75,155,99,113,High
139,115,121,108,146,118,192,62,95,40,214,84,High
176,78,103,115,139,121,205,49,88,171,83,105,High
166,88,108,41,213,84,4,250,66,45,209,86,Low
57,197,92,202,52,90,245,9,68,176,78,103,High
181,73,100,176,78,103,185,69,98,58,196,93,High
60,194,94,56,198,92,77,177,103,29,225,79,Medium
82,172,105,21,233,74,211,43,85,42,212,85,High
190,64,96,173,81,104,71,183,100,0,254,64,Medium
165,89,108,166,88,108,222,32,80,183,71,100,High
216,38,83,69,185,98,28,226,78,186,68,98,Medium
167,87,107,242,12,70,179,75,101,131,123,126,High
144,110,119,38,216,83,137,117,122,41,213,84,Medium
23,231,75,110,144,119,24,230,76,21,233,74,Medium
93,161,111,240,14,71,61,193,94,4,250,66,High
67,187,97,107,147,117,3,251,65,42,212,85,Medium
62,192,95,162,92,110,119,135,124,227,27,77,High
248,6,67,101,153,114,76,178,102,61,193,94,Medium
100,154,114,69,185,99,152,102,115,90,164,109,High
227,27,77,250,4,66,75,179,102,26,228,77,High
160,94,111,104,150,116,76,178,102,56,198,92,Medium
202,52,90,227,27,77,189,65,96,132,122,125,High
128,126,127,58,196,93,12,242,70,154,100,114,Medium
147,107,118,54,200,91,230,24,76,62,192,95,High
125,129,127,7,247,67,217,37,82,14,240,71,High
49,205,88,166,88,108,170,84,106,99,155,114,High
184,70,99,93,161,111,151,103,116,59,195,93,High
71,183,99,220,34,81,227,27,77,55,199,92,High
6,248,67,120,134,124,47,207,87,244,10,69,High
164,90,109,246,8,68,20,234,74,157,97,113,High
45,209,86,47,207,87,61,193,94,142,112,120,Medium
239,15,71,221,33,80,202,52,90,106,148,117,High
243,11,69,198,56,92,8,246,68,109,145,118,Medium
233,21,74,196,58,93,148,106,117,137,117,122,High
94,160,111,215,39,83,253,1,64,177,77,102,High
3,251,65,194,60,94,218,36,82,179,75,102,High
236,18,73,159,95,111,132,122,125,43,211,85,High
109,145,118,33,221,80,16,238,72,127,127,127,Medium
246,8,68,8,246,68,212,42,85,105,149,116,High
245,9,68,234,20,74,152,102,115,221,33,80,High
217,37,82,157,97,113,29,225,78,161,93,111,High
75,179,101,203,51,90,23,231,76,135,119,123,High
98,156,113,122,132,125,231,23,75,29,225,78,High
217,37,83,29,225,79,170,84,106,154,100,114,High
80,174,104,31,223,80,211,43,85,29,225,79,High
43,211,85,174,80,104,224,30,79,85,169,107,High
141,113,120,109,145,119,145,109,118,36,218,82,High
238,16,72,51,203,89,131,123,125,176,78,103,High
177,77,102,125,129,126,109,145,119,52,202,90,High
145,109,119,16,238,72,80,174,104,99,155,114,Medium
24,230,76,148,106,117,110,144,119,228,26,77,High
156,98,113,68,186,98,197,57,92,52,202,90,High
252,2,65,203,51,89,153,101,114,129,125,127,High
35,219,81,79,175,103,227,27,77,106,148,117,High
132,122,125,116,138,122,113,141,120,4,250,66,Medium
223,31,79,2,252,65,154,100,114,202,52,90,High
188,66,97,18,236,73,160,94,111,17,237,72,Medium
177,77,102,100,154,114,150,104,116,120,134,124,High
179,75,102,122,132,125,179,75,102,142,112,120,High
91,163,110,153,101,115,60,194,94,160,94,111,High
74,180,101,74,180,101,130,124,126,175,79,103,High
206,48,88,177,77,103,26,228,77,64,190,96,Medium
206,48,88,219,35,81,98,156,113,2,252,65,High
221,33,81,198,56,92,124,130,126,184,70,99,High
232,22,75,10,244,69,166,88,108,136,118,123,High
130,124,126,122,132,125,242,12,70,213,41,84,High
127,127,127,26,228,77,153,101,115,209,45,86,High
203,51,89,61,193,94,189,65,96,215,39,84,High
165,89,108,251,3,65,129,125,127,123,131,126,High
179,75,102,36,218,82,161,93,110,85,169,106,High
202,52,90,127,127,127,18,236,73,201,53,90,Medium
226,28,78,157,97,112,64,190,96,115,139,121,High
86,168,107,179,75,102,92,162,110,46,208,87,High
95,159,112,142,112,120,120,134,124,218,36,82,High
23,231,76,2,252,65,11,243,69,225,29,79,Medium
147,107,117,83,171,105,35,219,81,118,136,123,Medium
9,245,68,132,122,125,70,184,99,19,235,73,High
118,136,123,22,232,75,247,7,67,98,156,113,High
138,116,122,89,165,108,84,170,106,204,50,89,High
73,181,100,8,246,68,122,132,125,229,25,76,High
150,104,116,20,234,74,50,204,89,51,203,90,Low
7,247,67,101,153,114,155,99,113,17,237,72,High
9,245,68,33,221,80,71,183,99,223,31,79,High
209,45,86,144,110,119,52,202,90,99,155,113,Medium
91,163,110,175,79,103,131,123,125,138,116,122,High
32,222,80,204,50,89,1,253,64,246,8,68,High
133,121,125,51,203,89,1,253,64,16,238,72,Low
196,58,93,42,212,85,55,199,92,165,89,109,Medium
55,199,91,26,228,77,9,245,68,18,236,73,Low
158,96,112,162,92,110,27,227,77,95,159,112,Medium
21,233,74,180,74,101,86,168,107,204,50,89,High
13,241,70,8,246,68,204,50,89,110,144,119,High
135,119,123,238,16,72,145,109,118,254,0,64,High
137,117,122,13,241,70,130,124,126,142,112,120,Medium
162,92,110,138,116,122,74,180,101,81,173,105,Medium
185,69,99,180,74,101,237,17,72,56,198,92,High
248,6,67,222,32,80,101,153,114,89,165,108,High
131,123,125,182,72,100,22,232,75,94,160,111,Medium
82,172,105,204,50,89,157,97,113,17,237,72,High
202,52,90,86,168,107,29,225,78,94,160,111,Medium
69,185,98,207,47,87,88,166,108,118,136,123,High
111,143,120,20,234,74,129,125,127,184,70,99,High
20,234,74,228,26,77,222,32,80,167,87,107,High
6,248,67,139,115,121,125,129,127,180,74,101,High
245,9,68,208,46,87,179,75,102,2,252,65,High
213,41,84,115,139,121,253,1,64,55,199,91,High
177,77,102,164,90,109,33,221,80,168,86,107,Medium
104,150,116,134,120,124,70,184,99,123,131,125,High
44,210,86,186,68,98,100,154,114,1,253,64,High
39,215,84,20,234,74,107,147,117,205,49,89,High
63,191,96,15,239,71,104,150,116,197,57,93,High
140,114,121,63,191,95,231,23,75,139,115,121,High
182,72,100,40,214,84,182,72,100,16,238,72,High
168,86,107,222,32,80,155,99,114,195,59,93,High
71,183,99,55,199,92,78,176,103,148,106,117,Medium
243,11,69,248,6,67,210,44,86,199,55,91,High
188,66,97,85,169,107,243,11,69,191,63,95,High
141,113,121,46,208,87,209,45,86,204,50,89,High
155,99,113,201,53,90,0,254,64,132,122,125,Medium
106,148,117,167,87,107,162,92,110,35,219,81,High
63,191,95,127,127,127,13,241,70,171,83,106,Medium
90,164,109,141,113,120,65,189,96,158,96,112,High
193,61,94,183,71,99,15,239,71,189,65,96,Medium
3,251,65,58,196,93,153,101,114,43,211,85,High
29,225,78,254,0,64,175,79,104,49,205,88,High
11,243,69,248,6,67,29,225,78,227,27,78,High
10,244,69,165,89,108,97,157,113,191,63,96,High
218,36,82,50,204,89,116,138,122,231,23,75,High
179,75,101,173,81,104,94,160,111,193,61,94,High
120,134,124,18,236,73,30,224,79,152,102,115,Medium
24,230,76,7,247,67,106,148,117,166,88,108,High
125,129,126,65,189,96,191,63,95,226,28,78,High
120,134,124,117,137,123,18,236,73,147,107,117,Medium
44,210,86,221,33,80,20,234,74,161,93,111,High
110,144,119,185,69,98,90,164,109,39,215,84,High
101,153,115,189,65,96,240,14,71,120,134,124,High
157,97,113,108,146,118,170,84,106,182,72,100,High
161,93,110,88,166,108,173,81,105,69,185,98,High
11,243,69,94,160,111,92,162,110,51,203,89,High
95,159,111,251,3,65,151,103,116,80,174,104,High
159,95,111,10,244,69,2,252,65,61,193,94,Low
128,126,127,221,33,81,162,92,110,54,200,91,High
218,36,82,147,107,117,232,22,75,108,146,118,High
167,87,107,111,143,120,156,98,113,231,23,75,High
41,213,84,184,70,99,222,32,80,129,125,127,High
17,237,73,124,130,126,184,70,99,47,207,88,High
163,91,109,222,32,80,30,224,79,19,235,73,Medium
6,248,67,229,25,76,230,24,76,177,77,102,High
149,105,117,107,147,117,16,238,72,97,157,112,Medium
239,15,71,70,184,99,136,118,123,209,45,86,High
146,108,118,151,103,116,36,218,82,168,86,107,Medium
98,156,113,232,22,75,2,252,65,203,51,90,High
164,90,109,53,201,90,107,147,118,69,185,98,Medium
116,138,122,158,96,112,75,179,101,176,78,103,High
139,115,122,161,93,111,123,131,126,67,187,97,High
240,14,71,186,68,98,147,107,118,239,15,71,High
98,156,113,33,221,80,11,243,69,162,92,110,Medium
245,9,68,182,72,100,31,223,79,82,172,105,High
230,24,76,231,23,75,142,112,120,68,186,98,High
49,205,89,45,209,86,87,167,107,48,206,88,Medium
17,237,72,60,194,94,185,69,98,177,77,103,High
25,229,76,247,7,67,166,88,108,55,199,91,High
4,250,66,46,208,87,215,39,83,151,103,115,High
24,230,76,217,37,82,176,78,103,67,187,97,High
174,80,104,125,129,127,109,145,119,168,86,107,High
18,236,73,63,191,95,171,83,105,207,47,87,High
81,173,104,222,32,80,70,184,99,198,56,92,High
215,39,83,113,141,120,78,176,103,194,60,94,High
5,249,66,131,123,126,201,53,91,47,207,88,High
207,47,87,91,163,109,113,141,121,22,232,75,Medium
71,183,100,151,103,116,203,51,89,178,76,102,High
30,224,79,41,213,84,209,45,86,93,161,111,High
177,77,102,99,155,114,218,36,82,110,144,119,High
160,94,111,247,7,67,233,21,74,7,247,67,High
223,31,79,65,189,97,109,145,119,66,188,97,High
187,67,97,167,87,107,81,173,104,8,246,68,Medium
204,50,89,82,172,105,148,106,117,224,30,79,High
71,183,100,197,57,92,94,160,111,62,192,95,High
45,209,86,33,221,80,153,101,115,142,112,120,High
191,63,95,247,7,67,179,75,101,9,245,68,High
205,49,88,115,139,122,175,79,103,170,84,106,High
252,2,65,60,194,94,95,159,111,82,172,105,High
105,149,116,18,236,73,42,212,85,228,26,77,Medium
94,160,111,43,211,85,109,145,119,226,28,78,High
197,57,92,132,122,125,36,218,82,82,172,105,Medium
86,168,107,85,169,107,226,28,78,229,25,76,High
237,17,72,211,43,85,88,166,108,254,0,64,High
218,36,82,109,145,119,39,215,83,210,44,86,Medium
109,145,118,63,191,95,6,248,67,215,39,83,Medium
191,63,95,157,97,113,164,90,109,63,191,95,High
192,62,95,180,74,101,162,92,110,147,107,118,High
26,228,77,42,212,85,86,168,107,17,237,72,Medium
230,24,76,42,212,85,18,236,73,24,230,76,Low
128,126,127,9,245,68,104,150,116,254,0,64,High
210,44,86,187,67,97,79,175,103,83,171,105,High
81,173,104,169,85,107,172,82,105,190,64,96,High
228,26,77,121,133,124,154,100,114,205,49,88,High
99,155,113,215,39,83,92,162,110,218,36,82,High
2,252,65,205,49,88,55,199,91,254,0,64,High
230,24,76,149,105,117,251,3,65,61,193,94,High
23,231,75,221,33,80,115,139,122,10,244,69,High
81,173,104,52,202,90,175,79,103,104,150,116,High
242,12,70,28,226,78,35,219,81,33,221,80,Medium
242,12,70,68,186,98,123,131,126,5,249,66,High
146,108,118,14,240,71,7,247,67,91,163,110,Low
161,93,111,135,119,124,128,126,127,199,55,91,High
114,140,121,238,16,72,245,9,68,144,110,119,High
74,180,101,10,244,69,97,157,113,79,175,104,Medium
83,171,106,31,223,79,9,245,68,166,88,108,Medium
171,83,105,115,139,121,7,247,67,59,195,93,Medium
191,63,95,238,16,72,98,156,113,3,251,65,High
201,53,90,80,174,104,40,214,84,194,60,94,Medium
201,53,90,129,125,127,5,249,66,159,95,112,Medium
23,231,75,10,244,69,192,62,95,194,60,94,High
126,128,127,37,217,82,116,138,122,9,245,68,Medium
14,240,71,251,3,65,73,181,101,213,41,84,High
140,114,121,246,8,68,229,25,76,157,97,112,High
112,142,120,1,253,64,29,225,78,143,111,119,Medium
226,28,78,242,12,70,243,11,69,159,95,112,High
89,165,108,162,92,110,80,174,104,220,34,81,High
29,225,78,221,33,80,226,28,78,149,105,116,High
36,218,82,115,139,122,153,101,114,148,106,117,High
194,60,94,131,123,126,210,44,86,252,2,65,High
157,97,112,124,130,126,250,4,66,192,62,95,High
25,229,76,170,84,106,73,181,100,112,142,120,High
21,233,74,35,219,81,245,9,68,180,74,101,High
178,76,102,7,247,67,99,155,113,99,155,113,Medium
18,236,73,78,176,103,98,156,113,58,196,93,High
209,45,86,179,75,101,86,168,107,152,102,115,High
180,74,101,51,203,89,138,116,122,236,18,73,High
20,234,74,171,83,105,39,215,83,236,18,73,High
21,233,74,247,7,67,141,113,121,87,167,107,High
251,3,65,23,231,76,138,116,122,134,120,124,High
95,159,111,171,83,105,194,60,94,53,201,91,High
94,160,111,113,141,120,212,42,85,253,1,64,High
207,47,87,221,33,80,112,142,120,250,4,66,High
241,13,70,45,209,86,77,177,102,165,89,108,Medium
251,3,65,176,78,103,66,188,97,205,49,89,High
192,62,95,213,41,84,49,205,88,182,72,100,High
95,159,112,240,14,71,14,240,71,151,103,116,High
21,233,74,174,80,104,87,167,107,13,241,70,High
198,56,92,126,128,127,68,186,98,115,139,122,Medium
142,112,120,157,97,112,246,8,68,172,82,105,High
108,146,118,221,33,80,142,112,120,172,82,105,High
231,23,75,145,109,118,88,166,108,95,159,111,High
28,226,78,7,247,67,148,106,117,240,14,71,High
125,129,127,237,17,72,35,219,81,42,212,85,Medium
2,252,65,175,79,103,113,141,120,127,127,127,High
119,135,123,172,82,105,159,95,111,176,78,103,High
14,240,71,54,200,91,124,130,126,177,77,102,High
30,224,79,168,86,107,102,152,115,165,89,108,High
29,225,79,100,154,114,253,1,64,70,184,99,High
165,89,108,166,88,108,224,30,79,39,215,83,High
190,64,96,27,227,77,158,96,112,162,92,110,High
148,106,117,167,87,107,145,109,119,152,102,115,High
245,9,68,254,0,64,158,96,112,45,209,86,High
95,159,111,12,242,70,51,203,89,179,75,101,Medium
72,182,100,249,5,66,100,154,114,116,138,122,High
221,33,80,103,151,116,10,244,69,170,84,106,Medium
57,197,92,222,32,80,121,133,124,213,41,84,High
245,9,68,199,55,91,138,116,122,43,211,85,High
3,251,65,144,110,119,58,196,93,4,250,66,High
247,7,67,188,66,97,245,9,68,198,56,92,High
11,243,69,224,30,79,231,23,75,155,99,113,High
227,27,77,103,151,115,184,70,99,178,76,102,High
134,120,124,83,171,105,136,118,123,213,41,84,High
253,1,64,170,84,106,221,33,80,204,50,89,High
18,236,73,206,48,88,33,221,80,245,9,69,High
141,113,121,194,60,94,201,53,90,136,118,123,High
247,7,67,203,51,89,31,223,79,124,130,126,High
133,121,125,111,143,119,202,52,90,102,152,115,High
160,94,111,208,46,87,70,184,99,39,215,83,High
177,77,102,30,224,79,223,31,79,146,108,118,High
115,139,122,138,116,122,240,14,71,70,184,99,High
160,94,111,1,253,64,37,217,83,234,20,74,Medium
149,105,117,82,172,105,117,137,123,148,106,117,High
229,25,76,93,161,110,250,4,66,151,103,116,High
11,243,69,101,153,114,123,131,125,90,164,109,High
71,183,99,177,77,102,220,34,81,13,241,70,High
242,12,70,99,155,113,150,104,116,8,246,68,High
227,27,78,114,140,121,95,159,112,107,147,118,High
116,138,122,60,194,94,72,182,100,21,233,74,Medium
158,96,112,95,159,111,51,203,90,154,100,114,Medium
70,184,99,57,197,93,194,60,94,224,30,79,High
47,207,88,18,236,73,98,156,113,225,29,78,High
118,136,123,153,101,114,130,124,126,168,86,107,High
90,164,109,170,84,106,125,129,127,53,201,91,High
148,106,117,157,97,112,147,107,118,220,34,81,High
19,235,73,118,136,123,220,34,81,225,29,78,High
248,6,67,96,158,112,250,4,66,50,204,89,High
251,3,65,220,34,81,103,151,116,188,66,97,High
178,76,102,132,122,125,211,43,86,73,181,100,High
136,118,123,122,132,125,194,60,94,204,50,89,High
78,176,103,6,248,67,146,108,118,254,0,64,High
207,47,87,87,167,107,243,11,69,7,247,67,High
174,80,104,96,158,112,51,203,89,228,26,77,Medium
41,213,84,101,153,115,27,227,77,158,96,112,Medium
232,22,75,147,107,117,217,37,82,248,6,67,High
209,45,86,136,118,123,111,143,120,118,136,123,High
242,12,70,155,99,114,215,39,83,216,38,83,High
185,69,99,195,59,94,227,27,77,15,239,71,High
156,98,113,207,47,87,15,239,71,85,169,106,Medium
106,148,117,183,71,100,225,29,78,17,237,72,High
237,17,72,243,11,69,114,140,121,248,6,67,High
220,34,81,4,250,66,130,124,126,208,46,87,High
11,243,69,49,205,89,159,95,111,217,37,82,High
6,248,67,1,253,64,236,18,73,239,15,71,High
95,159,112,165,89,109,4,250,66,21,233,74,Medium
206,48,88,228,26,77,121,133,125,98,156,113,High
251,3,65,62,192,95,175,79,103,18,236,73,High
38,216,83,236,18,73,184,70,99,53,201,90,High
151,103,115,15,239,71,176,78,103,58,196,93,High
97,157,112,238,16,72,34,220,81,119,135,124,High
247,7,67,89,165,109,76,178,102,68,186,98,Medium
